"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"464",12,"Tim Patrick",NYJ,"WR155","13","-","-","4 out of 5 stars","-","+1.0","46% (6/13)"
"465",12,"Josh Williams",TB,"RB128","10","-","-","2 out of 5 stars","-","-","-"
"466",12,"Jimmy Horn Jr.",CAR,"WR156","5","-","-","2 out of 5 stars","-","-","-"
"467",12,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-","-0.8","31% (5/16)"
"468",12,"Antonio Gibson",FA,"RB129","-","-","-","-","-","-","-"
"469",12,"Max Bredeson",MIN,"RB130","6","-","-","4 out of 5 stars","-","-","-"
"470",12,"Terrell Jennings",FA,"RB131","-","-","-","-","-","-","-"
"471",12,"Jahdae Walker",CHI,"WR157","10","-","-","3 out of 5 stars","-","+4.9","100% (2/2)"
"472",12,"Greg Dortch",BUF,"WR158","7","-","-","4 out of 5 stars","-","+1.4","50% (6/12)"
"473",12,"Zavier Scott",CHI,"RB132","10","-","-","2 out of 5 stars","-","0.0","40% (6/15)"
"474",12,"Josh Cameron",JAC,"WR159","7","-","-","4 out of 5 stars","-","-","-"
"475",12,"Ameer Abdullah",JAC,"RB133","7","-","-","4 out of 5 stars","-","-","-"
"476",12,"Kalel Mullings",TEN,"RB134","9","-","-","3 out of 5 stars","-","-0.4","12% (1/8)"
"477",12,"Reggie Virgil",ARI,"WR160","14","-","-","2 out of 5 stars","-","-","-"
"478",12,"Alec Ingold",LAC,"RB135","7","-","-","3 out of 5 stars","-","-","-"
"479",12,"Tyler Badie",DEN,"RB136","10","-","-","2 out of 5 stars","-","-0.6","40% (6/15)"
"480",12,"Julius Chestnut",TEN,"RB137","9","-","-","3 out of 5 stars","-","-0.6","18% (3/16)"
"481",12,"Patrick Ricard",NYG,"RB138","8","-","-","4 out of 5 stars","-","-","-"
"482",12,"Jonathan Mingo",DAL,"WR161","14","-","-","2 out of 5 stars","-","-0.6","25% (1/4)"
"483",12,"Will Kacmarek",MIA,"TE73","6","-","-","5 out of 5 stars","-","-","-"
"484",12,"Lil'Jordan Humphrey",DEN,"WR162","10","-","-","2 out of 5 stars","-","-0.2","37% (3/8)"
"485",12,"Jordan Watkins",SF,"WR163","8","-","-","2 out of 5 stars","-","-","-"
"486",12,"Mo Alie-Cox",IND,"TE74","13","-","-","3 out of 5 stars","-","-","-"
"487",12,"Sam Roush",CHI,"TE75","10","-","-","2 out of 5 stars","-","-","-"
"488",12,"Brock Wright",DET,"TE76","6","-","-","3 out of 5 stars","-","0.0","27% (3/11)"
"489",12,"Scotty Miller",CHI,"WR164","10","-","-","3 out of 5 stars","-","-","-"
"490",12,"Nate Adkins",DEN,"TE77","10","-","-","4 out of 5 stars","-","-","-"
"491",12,"Nate Boerkircher",JAC,"TE78","7","-","-","3 out of 5 stars","-","-","-"
"492",12,"Luke Schoonmaker",DAL,"TE79","14","-","-","2 out of 5 stars","-","-","-"
